Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.6,1.00E-05,0.1,5,8,6,1.129745779
0.9,0.0003,0.01,20,10,21,1.132763235
0.75,0.01,0.01,5,10,23,1.133397151
0.9,0.01,0.03,5,8,9,1.133522361
0.75,0.001,0.1,10,6,6,1.133567741
0.9,0.0003,0.01,20,8,23,1.133585013
0.6,1.00E-05,0.03,5,8,2,1.133629047
0.6,0.01,0.01,5,10,20,1.134147147
0.6,1.00E-05,0.03,20,6,11,1.134258875
0.6,0.001,0.01,10,6,27,1.134284233
0.6,0.0003,0.01,5,8,24,1.134759026
0.6,0.001,0.1,5,10,4,1.13478442
0.9,0.001,0.01,5,6,28,1.135165948
0.75,0.01,0.03,20,10,10,1.136024463
0.75,0.0003,0.01,20,6,4,1.136422998
0.75,0.0001,0.01,20,10,20,1.136645806
0.75,0.0001,0.01,10,8,28,1.136734347
0.6,1.00E-05,0.01,5,10,23,1.136840667
0.75,0.001,0.01,5,8,27,1.137046387
0.75,0.001,0.03,10,10,8,1.13704948
0.9,0.001,0.03,20,8,9,1.13709664
0.6,1.00E-05,0.1,10,6,5,1.137209459
0.9,0.001,0.01,20,10,21,1.137276224
0.75,0.001,0.01,5,6,27,1.1374386
0.75,1.00E-05,0.03,20,6,12,1.137546349
0.6,0.0001,0.01,20,8,24,1.137591471
0.75,0.0003,0.03,20,8,9,1.137729233
0.9,0.001,0.03,5,6,10,1.137838314
0.9,0.001,0.01,5,8,27,1.137890668
0.6,0.0001,0.01,5,8,23,1.137909246
0.75,0.001,0.01,5,10,5,1.13802478
0.75,0.01,0.01,10,10,21,1.138057045
0.6,0.001,0.03,20,8,3,1.13810834
0.6,1.00E-05,0.01,10,8,25,1.138147705
0.75,0.0003,0.03,5,10,7,1.138181482
0.75,0.01,0.1,10,6,4,1.138212383
0.75,0.0001,0.03,20,8,11,1.138234734
0.9,0.0003,0.03,5,8,2,1.138362041
0.6,0.001,0.1,10,6,4,1.138374094
0.9,0.01,0.03,10,10,7,1.138614265
0.9,0.0001,0.01,10,6,25,1.138653996
0.75,1.00E-05,0.01,5,8,23,1.138696771
0.9,1.00E-05,0.01,5,6,26,1.138881785
0.9,0.0003,0.01,10,8,27,1.139038282
0.9,0.0001,0.01,5,6,8,1.139081257
0.75,0.0001,0.03,5,10,9,1.139329987
0.75,0.001,0.03,20,8,3,1.139353005
0.6,0.0001,0.01,20,6,7,1.139397778
0.6,0.0003,0.03,5,6,11,1.139530981
0.75,0.0003,0.01,10,8,29,1.139790277
0.9,0.01,0.01,20,6,26,1.139999891
0.6,0.0001,0.01,10,10,7,1.140111183
0.75,1.00E-05,0.01,10,8,20,1.140173254
0.75,0.01,0.03,20,6,13,1.140184747
0.75,1.00E-05,0.01,20,6,10,1.140229226
0.6,0.0003,0.01,20,10,24,1.140326775
0.9,1.00E-05,0.01,10,8,22,1.140428022
0.75,1.00E-05,0.01,10,10,18,1.140429728
0.9,0.0003,0.01,20,6,27,1.140448597
0.75,0.01,0.01,20,6,9,1.140449679
0.9,0.01,0.01,10,6,22,1.140460128
0.75,0.01,0.03,5,8,10,1.140524692
0.9,0.0001,0.01,5,8,21,1.140564898
0.75,0.0001,0.01,10,10,5,1.140626874
0.9,0.001,0.01,10,6,10,1.14068873
0.6,0.0003,0.03,10,6,3,1.140819967
0.6,0.01,0.01,5,8,23,1.140843607
0.6,0.0001,0.03,5,10,3,1.140874526
0.6,0.01,0.01,20,10,24,1.140888085
0.75,0.0001,0.01,20,6,10,1.140894965
0.9,1.00E-05,0.01,20,8,20,1.140907525
0.75,0.0001,0.01,5,8,5,1.140939125
0.9,0.01,0.01,20,8,8,1.140955542
0.75,0.0001,0.01,20,8,24,1.140969166
0.9,0.01,0.1,10,8,6,1.140993157
0.6,0.0003,0.01,10,8,29,1.141017741
0.6,0.0003,0.03,20,8,9,1.141047127
0.75,0.0003,0.01,5,8,6,1.141053686
0.6,0.0003,0.01,20,8,9,1.141071372
0.9,0.01,0.01,10,10,21,1.141098039
0.75,0.0003,0.01,20,10,8,1.141184114
0.6,0.001,0.01,10,8,8,1.141210431
0.6,0.01,0.03,5,8,10,1.141261524
0.6,0.001,0.01,5,10,27,1.141367418
0.75,1.00E-05,0.03,10,10,8,1.141408214
0.6,0.001,0.01,10,10,27,1.141450091
0.9,0.01,0.03,20,6,9,1.141493547
0.9,0.0003,0.01,10,6,29,1.141676047
0.75,0.01,0.01,5,8,8,1.141692242
0.75,0.0001,0.03,10,10,9,1.141698932
0.9,0.01,0.03,10,6,11,1.141748261
0.6,1.00E-05,0.01,20,8,25,1.14175199
0.6,1.00E-05,0.01,10,10,9,1.14178131
0.75,0.001,0.01,20,6,9,1.141865169
0.6,0.001,0.03,20,10,9,1.141873756
0.9,0.0001,0.03,20,8,3,1.141886983
0.9,0.001,0.01,20,6,5,1.142093429
0.9,1.00E-05,0.01,10,10,22,1.142128612
0.6,1.00E-05,0.01,10,6,10,1.142137974
0.75,0.01,0.01,10,6,5,1.142348088
0.6,0.0003,0.01,5,10,7,1.142359716
0.6,0.0001,0.01,5,10,8,1.142468797
0.75,1.00E-05,0.1,5,8,5,1.142469729
0.6,1.00E-05,0.03,20,8,10,1.142503734
0.9,1.00E-05,0.01,20,10,16,1.142518796
0.75,1.00E-05,0.01,5,10,21,1.142540276
0.6,1.00E-05,0.03,10,10,3,1.142660456
0.6,0.01,0.01,10,6,4,1.142688795
0.6,0.0003,0.01,20,6,8,1.142785973
0.9,0.001,0.01,5,10,20,1.142870488
0.6,0.0001,0.01,10,8,27,1.142907984
0.9,0.001,0.01,10,10,17,1.1429339
0.75,1.00E-05,0.03,5,8,8,1.142937261
0.75,1.00E-05,0.01,20,8,20,1.142942886
0.6,0.0003,0.01,10,6,8,1.142979078
0.75,0.0003,0.01,5,10,8,1.143003701
0.6,1.00E-05,0.01,5,8,28,1.143010927
0.75,0.0001,0.03,5,6,11,1.143014513
0.75,0.01,0.01,5,6,6,1.143033215
0.6,0.01,0.03,5,6,2,1.143033647
0.9,0.0001,0.01,10,8,24,1.143135486
0.9,0.0001,0.01,5,10,16,1.143213876
0.9,1.00E-05,0.03,20,10,8,1.143219422
0.75,0.001,0.03,10,8,4,1.143230523
0.9,0.0003,0.03,20,6,4,1.143233059
0.6,0.01,0.01,5,6,26,1.143252222
0.6,0.0001,0.01,20,10,7,1.143254583
0.9,1.00E-05,0.01,10,6,22,1.143278286
0.75,0.01,0.03,10,10,11,1.143309056
0.6,0.001,0.01,20,10,22,1.143324721
0.75,0.001,0.01,20,8,25,1.14332614
0.6,0.001,0.03,5,10,9,1.143510593
