Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.6,1e-05,0.01,5,6,27,1.1463775317661109
0.6,1e-05,0.01,5,8,13,1.1442653467198933
0.6,1e-05,0.01,5,10,28,1.1408685239096377
0.6,1e-05,0.01,10,6,24,1.1466690113081281
0.6,1e-05,0.01,10,8,14,1.1441234966386449
0.6,1e-05,0.01,10,10,27,1.1403518824985412
0.6,1e-05,0.01,20,6,22,1.1454075808542288
0.6,1e-05,0.01,20,8,22,1.1431934161978379
0.6,1e-05,0.01,20,10,19,1.1382582032859381
0.6,1e-05,0.03,5,6,12,1.1428676760599024
0.6,1e-05,0.03,5,8,4,1.1394729394480565
0.6,1e-05,0.03,5,10,11,1.1421287412523402
0.6,1e-05,0.03,10,6,7,1.1388870795906714
0.6,1e-05,0.03,10,8,14,1.1466746404913521
0.6,1e-05,0.03,10,10,22,1.1442943465695057
0.6,1e-05,0.03,20,6,26,1.1385008523372615
0.6,1e-05,0.03,20,8,13,1.1380179737703107
0.6,1e-05,0.03,20,10,21,1.1364228576516255
0.6,1e-05,0.1,5,6,5,1.1397329815459329
0.6,1e-05,0.1,5,8,10,1.1336885806856334
0.6,1e-05,0.1,5,10,8,1.1425115944301338
0.6,1e-05,0.1,10,6,20,1.1358060501673233
0.6,1e-05,0.1,10,8,13,1.1397341046620266
0.6,1e-05,0.1,10,10,14,1.1504273939959264
0.6,1e-05,0.1,20,6,11,1.1420936343563823
0.6,1e-05,0.1,20,8,20,1.134535459380499
0.6,1e-05,0.1,20,10,15,1.1394551864708724
0.6,0.0001,0.01,5,6,29,1.1511283386268742
0.6,0.0001,0.01,5,8,23,1.1440410959268044
0.6,0.0001,0.01,5,10,21,1.1452079924782332
0.6,0.0001,0.01,10,6,28,1.1468938206305075
0.6,0.0001,0.01,10,8,28,1.1447321960395327
0.6,0.0001,0.01,10,10,24,1.1390094232612369
0.6,0.0001,0.01,20,6,27,1.1424811275205253
0.6,0.0001,0.01,20,8,25,1.135475212076084
0.6,0.0001,0.01,20,10,19,1.1425858258440957
0.6,0.0001,0.03,5,6,8,1.1400319531769867
0.6,0.0001,0.03,5,8,12,1.1447071978500569
0.6,0.0001,0.03,5,10,29,1.140666503789735
0.6,0.0001,0.03,10,6,23,1.1390126364396245
0.6,0.0001,0.03,10,8,21,1.1431673659129447
0.6,0.0001,0.03,10,10,12,1.1470105939259889
0.6,0.0001,0.03,20,6,15,1.139459906570331
0.6,0.0001,0.03,20,8,11,1.138857346010858
